# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ 2.39305461e+01 -1.14384750e+02  9.18629912e-10];[0.6843605152119047, -1.3345460520518295, 0.6843605166675023, -0.0016298506295067683]
[  23.93226514 -114.37822134   -7.97784326];[0.45785393362685667, -1.3318994437265825, 0.9028920505937943, -0.000845989317346113]
[  23.93491136 -114.37166626  -15.95726751];[0.22584005267497995, -1.3225341055752171, 1.110110885685869, 0.0023936314873592157]
[  23.93829745 -114.36463804  -23.93829749];[-0.01002112684618433, -1.3038829400654153, 1.3038829133962366, 0.010021137242998163]
[  15.96155386 -114.35123435  -31.91854804];[-0.24343847962681459, -1.0821530090129146, 1.5054885951114152, -0.2090655487544718]
[  15.95803592 -114.36504115  -23.93608342];[-0.0023128741133764397, -1.1103225032091606, 1.3227606441037547, -0.22594942385027922]
[  15.95411148 -114.38484565  -15.95411151];[0.23498034835608528, -1.1265209872612778, 1.1265209533528222, -0.23498033464854345]
[  15.95220934 -114.39165171   -7.9761797 ];[0.4687585635622435, -1.134649782824135, 0.9174552059032801, -0.2390913566663396]
[ 1.59509805e+01 -1.14398482e+02 -5.95490971e-10];[0.6970939775877146, -1.1368836303047545, 0.6970939695727122, -0.24012734100268723]
[  15.9522093  -114.39165169    7.97617896];[0.9174549666828574, -1.1346497765439736, 0.4687589821973363, -0.23909130981877436]
[  15.95411149 -114.38484563   15.95411151];[1.1265209538125496, -1.1265209675882735, 0.2349803462302202, -0.23498033498942444]
[  15.95803592 -114.36504115   23.93608343];[1.3227606449617038, -1.1103225151413725, -0.0023128673980908135, -0.22594942736656976]
[  15.96155386 -114.35123435   31.91854804];[1.505488589452863, -1.0821530315512902, -0.24343846899743798, -0.20906555183054865]
[   7.98046359 -114.3512372    31.91683992];[1.5166929286407014, -0.8779019828988899, -0.24085768806598534, -0.4384953383676996]
