# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ 23.94288347 -90.52913529  15.95145598];[1.9585641290104243, -2.173142261940551, 0.7538933498582091, -0.43944725007771135]
[ 23.94469922 -90.51527923  23.94469928];[2.1773720378311707, -2.1773720383877246, 0.44453681991377014, -0.4445368036678743]
[ 23.94903902 -90.48471787  31.94784272];[2.358906518269925, -2.159775566142168, 0.14936426803081515, -0.43964465914212536]
[ 23.95450849 -90.45308839  39.9541857 ];[2.510273695031919, -2.114188796111322, -0.13587912346811348, -0.42154334120391723]
[ 31.95606778 -90.44149347  39.95721426];[2.4880787919743206, -2.291810976455206, -0.13614618859234084, -0.1327801916171677]
[ 31.95074984 -90.47098049  31.95074992];[2.339207554736161, -2.3392075646707453, 0.14677071259076724, -0.14677070199813225]
[ 31.94759784 -90.48697762  23.94880222];[2.1596727468776526, -2.3588061911792555, 0.4396062569231554, -0.14933231890911042]
[ 31.94555442 -90.49734869  15.95514217];[1.9417992988494126, -2.3557792053045414, 0.7461471856672577, -0.1431814162543094]
[ 31.94504669 -90.49668599   7.97327148];[1.6815637253282267, -2.342733432384724, 1.064766974505053, -0.13421363353290017]
[ 3.19455240e+01 -9.04904408e+01 -3.39287283e-10];[1.3836459539626462, -2.335841605436413, 1.3836459496588274, -0.12999658073757486]
[ 31.94504669 -90.49668598  -7.97327148];[1.0647669860603393, -2.342733418945481, 1.6815637149102003, -0.1342136299618148]
[ 31.94555441 -90.49734877 -15.95514217];[0.7461471943222648, -2.355779194649237, 1.9417992717689967, -0.14318141034530332]
[ 31.94759783 -90.48697771 -23.94880221];[0.43960624697877815, -2.3588061876249697, 2.1596727264544833, -0.14933231207508352]
[ 31.95074984 -90.47098051 -31.95074992];[0.14677071652718243, -2.3392075436868636, 2.3392075557011984, -0.14677070327592667]
[ 31.95606778 -90.44149349 -39.95721426];[-0.13614618749339674, -2.2918109688358004, 2.488078772177009, -0.13278019376019629]
[ 39.96175319 -90.41790127 -39.96175329];[-0.14671494806974636, -2.438245080074766, 2.4382451181865066, 0.14671496367770365]
[ 39.95721404 -90.44149463 -31.95606774];[0.13278019358619397, -2.488078692520429, 2.291810950877624, 0.13614621003118857]
[ 39.95398395 -90.45504986 -23.95431236];[0.42151032390824444, -2.5101908684119913, 2.1141013693547275, 0.13590327729091892]
[ 39.95146579 -90.46332983 -15.9601025 ];[0.7230089521937906, -2.5099090353181315, 1.898251410198428, 0.14319762314363213]
[ 39.950298   -90.46183685  -7.97632691];[1.0355880723349764, -2.4993065768459575, 1.6411482998672855, 0.1524299431552812]
[ 3.99504366e+01 -9.04556592e+01 -2.94057672e-10];[1.3482063399560904, -2.493447591497934, 1.3482063326963554, 0.15662375541503515]
[ 39.950298   -90.46183682   7.97632691];[1.641148305460248, -2.499306589751786, 1.0355880679861789, 0.15242994457463663]
[ 39.9514658  -90.46332974  15.96010251];[1.8982514128422217, -2.5099090608082566, 0.7230089310601213, 0.1431976263162681]
[ 39.95398395 -90.45504987  23.95431236];[2.1141013948935927, -2.5101908496810337, 0.4215103061639781, 0.1359032835622603]
[ 39.95721404 -90.44149466  31.95606774];[2.2918109606295056, -2.4880787009481375, 0.13278019866711963, 0.13614620890142287]
[ 39.96175319 -90.41790126  39.96175329];[2.4382451439044113, -2.4382450745560313, -0.14671495113802652, 0.14671496373919196]
[ 39.95058844 -98.3954262   39.95058854];[2.122056960252692, -2.122056917044843, -0.27184061856569824, 0.27184062836965556]
[ 39.94681355 -98.40082798  31.954149  ];[1.9675607387672291, -2.172348430982461, -0.007174517690582548, 0.2605595582725772]
